City,Customer Name,Customer Segment,Order Date,Order ID,Order Priority,Product Category,Product Container,Product Name,Product Sub-Category,Region,Row ID,Ship Date,Ship Mode,State,Zip Code,Customer Age,Discount,Discount %,Number of Records,Order Quantity,Product Base Margin,Profit,Sales,Shipping Cost,Unit Price
Fresno,Benjamin Venier,Small Business,07-01-2012,33923,Low,Technology,Small Box,i1000,Telephones and Communication,West,4778,11-01-2012,Regular Air,California,93727,,0.05,5,1,34,0.58,425.754,1961.7915,5.99,65.99
Brunswick,Julie Kriz,Corporate,07-01-2012,40704,Low,Office Supplies,Wrap Bag,Newell 310,Pens & Art Supplies,East,5733,12-01-2012,Regular Air,Maine,04011,,0.01,1,1,6,0.56,-2.06,11.57,0.7,1.76
Garfield Heights,Sandra Flanagan,Home Office,08-01-2012,4193,High,Furniture,Small Pack,"Executive Impressions 14"" Two-Color Numerals Wall Clock",Office Furnishings,East,612,08-01-2012,Regular Air,Ohio,44125,,0.03,3,1,3,0.44,64.25,75.77,8.99,22.72
Garfield Heights,Sandra Flanagan,Home Office,08-01-2012,4193,High,Office Supplies,Small Box,Avery 491,Labels,East,611,08-01-2012,Regular Air,Ohio,44125,,0.07,7,1,16,0.39,14.42,64.29,0.99,4.13
Myrtle Beach,Luke Schmidt,Home Office,08-01-2012,30083,Not Specified,Office Supplies,Small Box,Acco 6 Outlet Guardian Premium Surge Suppressor,Appliances,South,4234,09-01-2012,Regular Air,South Carolina,29577,,0.07,7,1,23,0.58,20.43,324.28,3.5,14.56
Edmonds,Ruben Dartt,Corporate,08-01-2012,7203,High,Office Supplies,Small Box,GBC DocuBind TL300 Electric Binding System,Binders and Binder Accessories,West,998,10-01-2012,Regular Air,Washington,98026,,0.03,3,1,25,0.38,9296.348,21752.01,19.99,896.99
Pasadena,Mark Haberlin,Small Business,09-01-2012,31715,Not Specified,Office Supplies,Wrap Bag,Newell 337,Pens & Art Supplies,West,4451,09-01-2012,Regular Air,California,91104,,0.05,5,1,44,0.56,-116.87,145.19,3.97,3.28
Lawton,Joni Blumstein,Home Office,09-01-2012,18561,Not Specified,Office Supplies,Small Box,"Avery 05222 Permanent Self-Adhesive File Folder Labels for Typewriters, on Rolls, White, 250/Roll",Labels,Central,2571,10-01-2012,Regular Air,Oklahoma,73505,,0.02,2,1,9,0.39,-38.9,45.87,6.89,4.13
Pasadena,Mark Haberlin,Small Business,09-01-2012,31715,Not Specified,Office Supplies,Small Box,"Acco PRESSTEX® Data Binder with Storage Hooks, Dark Blue, 9 1/2"" X 11""",Binders and Binder Accessories,West,4450,10-01-2012,Regular Air,California,91104,,0.01,1,1,11,0.36,-53.8545,68.5,7.57,5.38
Gilroy,Cynthia Voltz,Corporate,09-01-2012,8576,High,Office Supplies,Small Pack,Boston 16765 Mini Stand Up Battery Pencil Sharpener,Pens & Art Supplies,West,1173,11-01-2012,Express Air,California,95020,,0,0,1,43,0.59,-164.25,541.45,8.99,11.66
Plainfield,Yana Sorensen,Corporate,09-01-2012,58343,Not Specified,Office Supplies,Wrap Bag,Acco® Hot Clips™ Clips to Go,Rubber Bands,East,8161,11-01-2012,Regular Air,New Jersey,07060,,0.07,7,1,39,0.4,11.32,121.87,1.35,3.29
Augusta,Mark Haberlin,Small Business,09-01-2012,31715,Not Specified,Office Supplies,Wrap Bag,Newell 339,Pens & Art Supplies,East,4449,11-01-2012,Regular Air,Maine,04330,,0.09,9,1,24,0.59,-4.09,64.11,0.97,2.78
Madison,Olvera Toch,Home Office,09-01-2012,40097,Low,Office Supplies,Wrap Bag,12 Colored Short Pencils,Pens & Art Supplies,Central,5666,14-01-2012,Regular Air,Wisconsin,53711,,0.1,10,1,47,0.58,-71,117.88,2.4,2.6
King of Prussia,Benjamin Patterson,Corporate,09-01-2012,47138,Low,Technology,Small Box,M70,Telephones and Communication,East,6627,16-01-2012,Regular Air,Pennsylvania,19406,,0.04,4,1,1,0.59,-506.308,107.95,8.99,125.99
East Lansing,Kristina Nunn,Consumer,10-01-2012,55367,Critical,Furniture,Jumbo Box,"Hon Metal Bookcases, Putty",Bookcases,Central,7731,11-01-2012,Delivery Truck,Michigan,48823,,0.05,5,1,31,0.56,-686.01,2137.1,46.74,70.98
Denton,Darren Powers,Corporate,10-01-2012,14596,Critical,Office Supplies,Wrap Bag,Newell 337,Pens & Art Supplies,Central,2046,11-01-2012,Regular Air,Texas,76201,,0.06,6,1,19,0.56,-53.75,63.14,3.97,3.28
Lehi,Ann Steele,Corporate,10-01-2012,44391,Not Specified,Office Supplies,Small Box,Xerox 1996,Paper,West,6273,11-01-2012,Regular Air,Utah,84043,,0.02,2,1,16,0.37,-85.23,112.81,9.17,6.48
Pittsburgh,Rob Haberlin,Consumer,10-01-2012,33988,Medium,Technology,Small Pack,"Imation 3.5, DISKETTE 44766 HGHLD3.52HD/FM, 10/Pack",Computer Peripherals,East,4787,11-01-2012,Regular Air,Pennsylvania,15122,,0,0,1,30,0.79,-128.47,164.78,5.14,5.02
Essex Junction,Giulietta Dortch,Corporate,10-01-2012,28999,High,Technology,Small Pack,"Imation Neon 80 Minute CD-R Spindle, 50/Pack",Computer Peripherals,East,4073,11-01-2012,Regular Air,Vermont,05451,,0.02,2,1,34,0.45,420.05,1177.5,1.99,33.98
Denton,Darren Powers,Corporate,10-01-2012,14596,Critical,Furniture,Wrap Bag,Document Clip Frames,Office Furnishings,Central,2045,12-01-2012,Regular Air,Texas,76201,,0.01,1,1,24,0.43,73.33,199.12,0.96,8.34
Hazelwood,Maria Bertelson,Home Office,10-01-2012,28290,Low,Office Supplies,Small Box,Fellowes Super Stor/Drawer® Files,Storage & Organization,Central,3965,12-01-2012,Express Air,MO,63042,,0.01,1,1,3,0.66,-179.36,523.58,19.99,161.55
East Lansing,Kristina Nunn,Consumer,10-01-2012,55367,Critical,Office Supplies,Wrap Bag,Newell 309,Pens & Art Supplies,Central,7732,12-01-2012,Regular Air,Michigan,48823,,0.05,5,1,48,0.55,129.87,571.17,2.36,11.55
Minnetonka,Sean Wendt,Corporate,10-01-2012,31553,Critical,Office Supplies,Small Box,Multimedia Mailers,Envelopes,Central,4425,12-01-2012,Regular Air,Minnesota,55345,,0.09,9,1,32,0.39,1907.94,4906.85,19.99,162.93
Hazelwood,Maria Bertelson,Home Office,10-01-2012,28290,Low,Technology,Small Box,"Fellowes Internet Keyboard, Platinum",Computer Peripherals,Central,3964,14-01-2012,Express Air,MO,63042,,0.05,5,1,43,0.74,-154.24,1307.35,8.65,30.42
Pleasure Ridge Park,Michelle Moray,Corporate,10-01-2012,20037,Low,Furniture,Small Box,"Deflect-o SuperTray™ Unbreakable Stackable Tray, Letter, Black",Office Furnishings,South,2775,15-01-2012,Regular Air,Kentucky,40258,,0.02,2,1,35,0.42,339.58,1009.42,8.55,29.18
Pleasure Ridge Park,Michelle Moray,Corporate,10-01-2012,20037,Low,Technology,Jumbo Drum,Panasonic KX-P3200 Dot Matrix Printer,Office Machines,South,2776,15-01-2012,Delivery Truck,Kentucky,40258,,0.03,3,1,49,0.57,4913.16,15137.11,14.7,297.64
Trenton,Bradley Drucker,Small Business,11-01-2012,33797,Not Specified,Office Supplies,Small Box,Xerox 188,Paper,East,4758,11-01-2012,Regular Air,New Jersey,08601,,0.03,3,1,18,0.36,30.53,216.87,5.01,11.34
Bellingham,Bradley Drucker,Small Business,11-01-2012,33797,Not Specified,Technology,Jumbo Drum,Panasonic KX-P3200 Dot Matrix Printer,Office Machines,East,4754,11-01-2012,Delivery Truck,MA,02019,,0.08,8,1,20,0.57,653.68,4531.34,14.7,297.64
Beverly,Bradley Drucker,Small Business,11-01-2012,33797,Not Specified,Furniture,Large Box,"Tensor ""Hersey Kiss"" Styled Floor Lamp",Office Furnishings,East,4755,12-01-2012,Regular Air,MA,01915,,0.02,2,1,44,0.73,-449.04,574.5,14.37,12.99
Hanson,Bradley Drucker,Small Business,11-01-2012,33797,Not Specified,Office Supplies,Medium Box,Holmes Odor Grabber,Appliances,East,4756,12-01-2012,Regular Air,MA,02341,,0.06,6,1,18,0.52,-22.37,262.94,6.75,14.42
Springfield,Alan Barnes,Corporate,11-01-2012,19655,High,Technology,Small Pack,Verbatim DVD-R 4.7GB authoring disc,Computer Peripherals,Central,2726,12-01-2012,Regular Air,Illinois,62701,,0.06,6,1,31,0.51,304.42,1143.45,1.99,39.24
Hawthorne,Bradley Drucker,Small Business,11-01-2012,33797,Not Specified,Furniture,Small Box,Eldon Image Series Black Desk Accessories,Office Furnishings,East,4757,13-01-2012,Express Air,New Jersey,07506,,0.05,5,1,29,0.49,-103.78,138.17,6.6,4.14
Lebanon,Andy Gerbode,Consumer,11-01-2012,21830,Low,Technology,Jumbo Box,Okidata ML320 Series Turbo Dot Matrix Printers,Office Machines,South,3040,18-01-2012,Delivery Truck,Tennessee,37087,,0.08,8,1,19,0.56,906.8,6991.65,12.06,399.98
Florence,Cindy Schnelling,Corporate,12-01-2012,20549,Not Specified,Office Supplies,Small Box,Fellowes Super Stor/Drawer®,Storage & Organization,South,2855,13-01-2012,Regular Air,Kentucky,41042,,0.09,9,1,40,0.67,-568.71,1030.09,19.99,27.75
Englewood,Greg Matthias,Home Office,12-01-2012,7461,Low,Furniture,Jumbo Drum,Global Leather Executive Chair,Chairs & Chairmats,West,1024,14-01-2012,Delivery Truck,Colorado,80112,,0.05,5,1,12,0.55,593.79,4080.3,39,350.99
Gaithersburg,Rick Reed,Consumer,12-01-2012,43362,Critical,Office Supplies,Wrap Bag,Prang Dustless Chalk Sticks,Pens & Art Supplies,East,6123,14-01-2012,Regular Air,Maryland,20877,,0.04,4,1,33,0.35,2.72,58.48,1,1.68
Fort Thomas,Liz Price,Consumer,12-01-2012,27813,Medium,Technology,Small Box,Targus USB Numeric Keypad,Computer Peripherals,South,3901,14-01-2012,Regular Air,Kentucky,41075,,0.1,10,1,10,0.74,-131.03,401.14,6.5,40.98
Gaithersburg,Rick Reed,Consumer,12-01-2012,43362,Critical,Furniture,Jumbo Drum,Office Star - Professional Matrix Back Chair with 2-to-1 Synchro Tilt and Mesh Fabric Seat,Chairs & Chairmats,East,6122,15-01-2012,Delivery Truck,Maryland,20877,,0.03,3,1,45,0.61,4276.73,15963.09,30,350.98
Springfield,Guy Thornton,Corporate,12-01-2012,37862,Not Specified,Office Supplies,Small Box,Belkin 8 Outlet SurgeMaster II Gold Surge Protector,Appliances,Central,5327,15-01-2012,Regular Air,MO,65807,,0.01,1,1,27,0.57,452.49,1603.27,3.99,59.98
Englewood,Greg Matthias,Home Office,12-01-2012,7461,Low,Office Supplies,Small Box,"#10- 4 1/8"" x 9 1/2"" Recycled Envelopes",Envelopes,West,1025,16-01-2012,Regular Air,Colorado,80112,,0,0,1,28,0.38,111.4,260.79,1.39,8.74
Englewood,Greg Matthias,Home Office,12-01-2012,7461,Low,Office Supplies,Wrap Bag,"Brites Rubber Bands, 1 1/2 oz. Box",Rubber Bands,West,1026,16-01-2012,Regular Air,Colorado,80112,,0.02,2,1,44,0.83,-16.72,90.35,0.7,1.98
College Park,Michelle Huthwaite,Home Office,13-01-2012,51623,Critical,Furniture,Small Box,Eldon® Wave Desk Accessories,Office Furnishings,East,7241,13-01-2012,Regular Air,Maryland,20740,,0.06,6,1,17,0.43,-66.58,39.23,5.33,2.08
Manteca,Brian Stugart,Corporate,13-01-2012,13602,Low,Office Supplies,Small Box,Xerox 1910,Paper,West,1895,13-01-2012,Regular Air,California,95336,,0.02,2,1,13,0.37,267.67,660.99,5.09,48.04
Pembroke Pines,Mike Gockenbach,Consumer,13-01-2012,25541,Low,Office Supplies,Small Box,Xerox 1903,Paper,South,3582,15-01-2012,Regular Air,Florida,33024,,0.07,7,1,50,0.36,-111.34,297.76,5.79,5.98
Manteca,Brian Stugart,Corporate,13-01-2012,13602,Low,Technology,Jumbo Drum,Panasonic KX-P1150 Dot Matrix Printer,Office Machines,West,1894,18-01-2012,Delivery Truck,California,95336,,0.03,3,1,3,0.56,-377.9019,445.34,17.85,145.45
Post Falls,Tamara Manning,Corporate,14-01-2012,43911,Medium,Furniture,Large Box,Telescoping Adjustable Floor Lamp,Office Furnishings,West,6200,14-01-2012,Regular Air,Idaho,83854,,0.06,6,1,29,0.6,-53.89,577.89,11.17,19.99
Germantown,Toby Swindell,Small Business,14-01-2012,30567,Not Specified,Office Supplies,Jumbo Drum,"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",Appliances,South,4291,14-01-2012,Delivery Truck,Tennessee,38138,,0.1,10,1,14,0.58,-368.02,2690.84,68.02,208.16
